繁體	简体	清末	甬	出處（甬）	鎮	出處（鎮）	侖	出處（侖）	定	出處（定）	字頻	備註	篩選
余	余				zhi2	9					0.00	姓	#
齊	齐		zhi2	1	zhi2	9	zhi2	10	zhi2	11		白讀	
前	前		zhi2	1	zhii2	9	zhi2	10	zhien2	11			
自	自		zhi6	1	zhi6	9	zhi6	10				白讀	
賤	贱		zhi6	1	zhii6	9	zhi6	10	yen6	11		白讀	
甘	甘	ken	ki-ke1	1	kii1	9	ki1	10	kien1	11			
泔	泔	ken	ki-ke1	1	kii1	9	ki1	10	kien1	11			
柑	柑	ken	ki-ke1	2	kii1	9	ki1	10	kien1	11			
苷	苷		ki-ke1									化學用字	
疳	疳	ken	ki-ke1	7									
坩	坩		ki-ke1										
乾	干	ken	ki-ke1	1	jii2	9	ki1	10	kien1	11	0.20		
干	干	ken	ki-ke1	2	kii1	9	ki1	10	kien1	11			
肝	肝	ken	ki-ke1	1	kii1	9	ki1	10	kien1	11			
竿	竿	ken	ki-ke1	1	kii3	9	ki3	10	kien1	11			
秆	秆		ki-ke1	1									
稈	秆	ken	ki-ke1	1	kii3	9	ki3	10	kien3	11			
杆	杆	ken	ki-ke1	1	kii3	9	ki3	10	kien3	11			
桿	杆	ken	ki-ke1	1									
酐	酐		ki-ke1									化學用字	
矸	矸		ki-ke1									化學用字	
玕	玕	ken	ki-ke1	7									
媣	媣		ki-ke1										
漧	漧		ki-ke1										
迀	迀		ki-ke1										
鳱	鳱		ki-ke1										
該	该	kæ	ki-1	1							0.00	僅限於“該應”一詞	
賅	赅	kæ	ki-1	3									
鋸	锯		ki-ke1	1	ki5	9	ki1	10	kien5	11		白讀	
𡨢	𡨢		ki-1	1								又音	
丐	丐	kæ	ki-1	2			ke5	10	ke5	11	0.10	又音	
匃	丐		ki-1	2							0.10	又音	
匄	丐	kæ	ki-1	2							0.10	又音	
敢	敢	ken	ki-ke3	1	kii3	9	ki3	10	kien3	11			
澉	澉		ki-ke3										
感	感	ken	ki-ke3	1	kii3	9	ki3	10	kien3	11			
擀	擀		ki-ke3	2								擀麵	
趕	赶	ken	ki-ke3	1	kii3	9	ki3	10	kien3	11			
鱤	鳡		ki-ke3										
仠	仠		ki-ke3										
皯	皯		ki-ke3										
簳	簳		ki-ke3										
衦	衦		ki-ke3										
狗	狗		ki-ke3	1	kii1	9	ki3	10	kien3	11	0.05	兒化音殘留	
幹	干	ken	ki-ke5	1	kii3	9	ki1	10	kien5	11			
榦	干	ken	ki-ke5	1									
𢁗	𢁗	ken	ki-ke5	7									
稈	秆								kien5	11	0.00	麥稈	
倝	倝		ki-ke5										
盰	盰		ki-ke5										
淦	淦	ken	ki-ke5	7									
贛	赣		ki-ke5										
灨	赣		ki-ke5										
贑	赣		ki-ke5										
紺	绀	ken	ki-ke5	7									
侅	侅	kæ	khi-1	3			khi1	10					
看	看								khien1	11	0.00	看多：很多	#
看	看	kʽen	khi-khe5	1	khii1	9	khi5	10	khien5	11			
堪	堪	kʽæn	khi-khe5	3							0.01	堪好	
墈	墈		khi-khe5	3					khien5	11		高峻的堤岸；高地的崖壁	
幹	干	ken	khi-khe5		kii3	9	ki1	10	kien5	11	0.00	又音 僅限於“啥幹”	
携	携		yi2	2									
攜	携	yi	yi2	2			zhiq8	10	yi2	11			
擕	携		yi2	2									
巂	巂		yi2										
蠵	蠵		yi2										
酅	酅		yi2										
雟	雟		yi2										
驨	𫘱		yi2										
奚	奚	yi	yi2	7	yi6	9	shi1	10					
徯	徯	yi	yi2	7									
鼷	鼷		yi2	7									
螇	螇	yi	yi2	7									
膎	膎	yi	yi2	7									
傒	傒		yi2										
豯	豯		yi2										
貕	貕		yi2										
騱	𫘬		yi2										
嵆	嵆		yi2										
郋	郋		yi2										
圯	圯	yi	yi2	7									
畦	畦	yi	yi2	7					zhi2	11			
鮭	鲑	yi	yi2	7							0.01		
移	移	yi	yi2	1	yi2	9	yi2	10	yi2	11			
迻	移		yi2	1									
𣻗	𣻗	yi	yi2	7									
扅	扅	yi	yi2	7									
拸	拸		yi2										
熪	熪		yi2										
謻	謻		yi2										
暆	暆		yi2										
歋	歋		yi2										
怡	怡	yi	yi2	2					yi2	11			
貽	贻	yi	yi2	2									
飴	饴	yi	yi2	2			yi2	10	yi2	11			
眙	眙	yi	yi2	7									
詒	诒	yi	yi2	7									
珆	珆		yi2										
迤	迤	yi	yi2	1									
蛇	蛇		yi2								0.00	虛與委蛇	
匜	匜	yi	yi2	7									
迆	迆		yi2										
兮	兮	yi	yi2	7	yi2	9					0.05		
夷	夷	yi	yi2	2	yi2	9	yi2	10	yi2	11			
姨	姨	yi	yi2	1	yi2	9	yi2	10	yi2	11			
痍	痍	yi	yi2	7									
峓	峓		yi2										
恞	恞		yi2										
眱	眱		yi2										
蛦	蛦		yi2										
遺	遗	yi	yi2	1	yi2	9	yi2	10	yi2	11			
痬	痬		yi2	1								疾病傳染	
肄	肄	yi	yi2	1	yi2	9	yi6	10					
蚰	蚰		yi2	1							0.00	蜒蚰螺	
頤	颐	yi	yi2	7	yi2	9			yi2	11			
彝	彝		yi2	7									
彜	彝	yi	yi2	7									
彞	彝		yi2	7									
胰	胰	yi	yi2	7	yi2	9			yi2	11			
鮧	鮧	yi	yi2	7									
跠	跠	yi	yi2	7									
𢂒	𢂒	yi	yi2	7									
沂	沂		yi2	2							0.10	文讀	
矣	矣	yi	yi2	2	yi2	9	yi6	10	yi4	11			
易	易	yi	yi2	2	yi2	9	yi6	10	yi6	11		容易	
宧	宧		yi2										
巸	巸		yi2										
弬	弬		yi2										
沶	沶		yi2										
瓵	瓵		yi2										
懿	懿	i	yi2	2									
𧍢	𧍢		yi2	1								軟體動物爬行	
延	延	yin	yi2	1	yii2	9	yi2	10	yen2	11			
蜒	蜒	yin	yi2	1					yen2	11		蜒蚰螺	
涎	涎		yi2	2			yi2	10					
鋋	鋋	yin	yi2	7									
唌	唌	yin	yi2	7									
䀽	䀽	yin	yi2	7									
埏	埏		yi2										
綖	𫄧		yi2										
郔	郔		yi2										
鹽	盐	yin	yi2	2	yii2	9	yi2	10	yen2	11			
塩	盐		yi2	2									
賢	贤	yin	yi2	2	yii2	9	yi2	10	yen2	11			
弦	弦	yin	yi2	2	yii2	9	yi2	10	yen2	11			
絃	弦	yin	yi2	2					yen2	11			
泫	泫	yin	yi2	7									
伭	伭		yi2										
婱	婱		yi2										
痃	痃		yi2										
蚿	蚿		yi2										
閆	闫		yi2										
言	言	yin	yi2	2	yii2	9	yi2	10	yen2	11			
訁	訁		yi2										
炎	炎	yin	yi2	1	yii2	9	yi2	10	yen2	11			
沿	沿	yin	yi2	1	yii2	9	yi2	10	yen2	11			
鉛	铅		yi2				yi2	10			0.00	鉛山	
阽	阽		yi2										
雁	雁	yin	yi2	2	yii2	9	i5	10	yen6	11			
鴈	雁		yi2	2									
鳫	鳫		yi2									古同“雁”	
咸	咸	yin	yi2	2	yii2	9						咸祥	
諴	𫍯		yi2										
輱	輱		yi2										
醎	醎		yi2										
檐	檐		yi2	1	yii2	9	yi2	10	yen2	11			
簷	檐	yin	yi2	1									
顏	颜	yin	yi2	6	yii2	9					0.05		
顔	颜	yin	yi2	6							0.05		
㘖	㘖	yin	yi2	7									
楌	楌		yi2										
閒	闲				yii2	9					0.00	文讀	
閑	闲				yii2	9					0.00	文讀	
癇	痫		yi2										
癎	痫		yi2										
嫺	娴		yi2	7									
嫻	娴	yin	yi2	7									
鷳	鹇		yi2										
瞯	瞯		yi2										
鷴	鹇		yi2										
壛	壛		yi2										
櫩	櫩		yi2										
鳶	鸢	yin	yi2	7									
演	演	yin	yi2	2	yii6	9	yi6	10					
縯	演		yi2	2									
豔	艳	yin	yi2	2	yii2	9	yi6	10	yen6	11			
艷	艳		yi2	2	yii2	9	yi6	10	yen6	11			
豓	艳		yi2	2									
艶	艶		yi2									同“艷”	
蛝	蛝		yi2										
涯	涯	yiæ	yi2	2								白讀	
崖	崖	yiæ	yi2	2								白讀	
冶	冶	yiæ	yi2	2								白讀	
匸	匸	yi	yi4	7									
已	已	yi	yi4	2			yi6	10					
以	以	yi	yi4	1			yi6	10	yi4	11			
苡	苡	yi	yi4	7									
笖	笖	yi	yi4	7									
𠯋	𠯋	yi	yi4	7									
咦	咦	yi	yi4	3									
崺	崺		yi4										
扡	扡		yi4										
肔	肔		yi4										
苢	苢		yi4										
峴	岘	yin	yi4	7									
晛	晛	yin	yi4	7									
睍	𪾢	yin	yi4	7									
俔	伣	yin	yi4	7									
哯	𠯟	yin	yi4	7									
衍	衍	yin	yi4	7									
琰	琰		yi4										
剡	剡		yi4										
扊	扊	yin	yi4	7									
鱔	鳝		yi4	1					yen6	11	0.00	僅限於“黃鱔”一詞	
鱓	鳝		yi4	1							0.00	僅限於“黃鱔”一詞	
蟮	蟮		yi4	3							0.00	僅限於“曲蟮”	
兗	兖	yin	yi4	7			yi6	10					
兖	兖	yin	yi4	7			yi6	10					
抁	抁		yi4										
沇	沇		yi4										
渷	渷		yi4										
蝝	蝝	yin	yi4	7									
烻	烻	yin	yi4	7									
鼸	鼸		yi4										
臔	臔		yi4										
鋧	鋧		yi4										
轞	轞		yi4										
橌	橌		yi4										
豏	豏		yi4										
夵	夵		yi4										
棪	棪		yi4										
裏	里	li	yi4	3							0.00	又音 僅限於“阿裏”	
裡	里		yi4	3							0.00	又音 僅限於“阿裏”	
異	异	yi	yi6	1	yi2	9	yi6	10	yi6	11			
勩	勚	yi	yi6	1							55	器物磨損	
泄	泄	yi	yi6	7							0.00		
呭	呭	yi	yi6	7									
枻	枻		yi6										
袣	袣		yi6										
詍	詍		yi6										
靾	靾		yi6										
貤	貤	yi	yi6	3									
又	又		yi6	6	yi6	9			yi6	11	0.05	白讀	
曳	曳	yi	yi6	7									
𥹞	𥹞	yi	yi6	7									
曵	曵		yi6										
禊	禊		yi6										
稧	稧		yi6										
殔	殔		yi6										
儶	儶		yi6										
現	现	yin	yi6	1	yii6	9	yi6	10	yen6	11			
見	见		yi6								0.01	古同“現”	
焰	焰	yin	yi6	1	yii6	9	yi6	10	yen6	11			
燄	焰	yin	yi6	1					yen6	11			
焱	焱		yi6										
筵	筵	yin	yi6	1			yi2	10	yen2	11			
炫	炫	yin	yi6	7									
贋	赝	yin	yi6	7									
贗	赝		yi6	7									
鹽	盐	yin	yi6	3	yii2	9	yi2	10	yen2	11		動詞	
塩	盐		yi6	3								動詞	
灩	滟		yi6										
灧	滟		yi6										
娨	娨		yi6										
粯	粯		yi6										
腌	腌		yi6	3							0.00	僅限於“暴醃”	
醃	腌		yi6	3	yii6	9			yen6	11	0.00	僅限於“暴醃”	
陷	陷				yii6	9					0.00	文讀	
練	练	lin	yi6	3							0.00	又音 僅限於“火赤練”	
衣	衣	i	i1	1	i1	9	i1	10	i1	11			
銥	铱		i1									化學元素	
挔	挔		i1	3								咋挔	
醫	医	i	i1	1	i1	9	i1	10	i1	11			x
𧕪	𧕪	i	i1	7									
瞖	翳		i1	1					i5	11			
翳	翳	i	i1	7									
鷖	鹥	i	i1	7									
繄	繄	i	i1	7									
嫛	嫛		i1										
黳	黳		i1										
毉	毉		i1										
依	依	i	i1	1	i1	9	i1	10	i1	11			
伊	伊	i	i1	3	i1	9	i1	10	i1	11			
咿	咿	i	i1	3									
吚	咿		i1	3									
蛜	蛜		i1										
漪	漪	i	i1	7									
檹	檹		i1										
欹	欹		i1										
噫	噫	i	i1	7									
黟	黟		i1										
禕	祎		i1										
郼	郼		i1										
蔫	蔫	in	i1	1	i5	9	i1	10	ien1	11			
焉	焉	yin	i1	2			yi2	10	yen2	11			
嫣	嫣	in	i1	7									
鄢	鄢	in	i1	7									
煙	烟		i1	1	ii1	9	i1	10	ien1	11			
菸	烟	in	i1	1			i1	10	ien1	11			
烟	烟	in	i1	7									
湮	湮		i1						ien5	11			
殷	殷		i1	6							0.05	紫紅色	
胭	胭	in	i1	1	ii1	9							
臙	胭		i1	1									
閼	阏		i1										
嫌	嫌	in	i1	2	ii1	9	i1	10	ien1	11			
腌	腌	in	i1	1									
醃	腌	in	i1	1			i1	10	ien1	11			
懨	恹		i1										
燕	燕		i1						ien1	11	0.05		
崦	崦		i1										
懕	懕		i1										
椅	椅	i	i3	1	i3	9			i3	11			
猗	猗	i	i3	7									
倚	倚	i	i3	7	i3	9	i3	10	i3	11			
𠋣	𠋣		i3										
掎	掎		i3	7									
旖	旖		i3										
扆	扆	i	i3	7									
偯	偯		i3										
庡	庡		i3										
已	已				i3	9			i3	11			
以	以		i3	1	i3	9	i3	10	i3	11	0.05	又音	
奄	奄	in	i3	7									
掩	掩		i3	1	ii1	9	i3	10					
俺	俺	in	i3	7							0.00		
𣄑	𣄑	in	i3	7									
匽	匽		i3										
偃	偃	in	i3	7									
蝘	蝘	in	i3	7									
鼹	鼹	in	i3	7									
鼴	鼹		i3	7									
鰋	𫚢	in	i3	7									
郾	郾		i3										
鶠	鶠		i3										
𥀬	𪠏		i3	1					i3	11		結𥀬	
⿱厭肉	⿱厌肉		i3	3								𥀬也作⿱厭肉	#
魘	魇	in	i3	7	ii1	9							
檿	檿		i3										
黶	黡		i3										
弇	弇	in	i3	7									
揜	揜	in	i3	7									
媕	媕		i3										
渰	渰		i3										
衣	衣		i3	3							0.05	蛋、果實等殼與肉之間的薄膜	
意	意	i	i5	1	i5	9	i5	10	i5	11			
薏	薏	i	i5	7									
癔	癔		i5										
鐿	镱		i5									化學元素	
鷾	鷾		i5										
饐	饐	i	i5	3									
曀	曀		i5										
殪	殪		i5										
撎	撎		i5										
鷧	鷧		i5										
挔	挔		i5	3									
裔	裔	i	i5	7									
㵝	㵝	i	i5	7									
瘞	瘗	i	i5	7									
医	医		i5										
嫕	嫕		i5										
殹	殹		i5										
蘙	蘙		i5										
益	益	ih	i5	3							0.00	又音 僅限於“益加”	
億	亿	ih	i5	2	iq7	9	i1	10	i5	11			
憶	忆	ih	i5	2	iq7	9	i1	10	i5	11			
臆	臆	ih	i5	2	iq7	9							
檍	檍		i5										
澺	澺		i5										
枍	枍		i5										
欭	欭		i5										
螠	螠		i5										
宴	宴	in	i5	2	ii5	9	i5	10	ien5	11			
讌	宴	in	i5	2									
醼	宴		i5	2									
燕	燕	in	i5	1	ii5	9	i5	10	ien5	11			
鷰	燕		i5	1									
咽	咽	in	i5	1	ii5	9	i5	10					
嚥	咽	in	i5	1	ii5	9	i5	10					
酀	酀		i5										
淹	淹	in	i5	2	ii1	9	i1	10	ien1	11			
閹	阉	in	i5	2	ii5	9	i1	10	ien1	11			
㛪	㛪	in	i5	7									
䞁	𬥺	in	i5	1					i5	11		䞁長短	
堰	堰	in	i5	1	ii5	9	i5	10					
厭	厌	in	i5	1	ii5	9	i5	10	ien5	11			
饜	餍	in	i5	7									
厴	厣		i5						i3	11			
晏	晏	in	i5	2	ii5	9			ien5	11	55	姓	
鷃	鷃	in	i5	7									
椻	椻		i5										
騴	𫘫		i5										
傿	傿		i5										
溎	溎		i5										
覎	觃		i5										
豔	艳						i5	10			0.05	又音	
艷	艳						i5	10			0.05	又音	
譜	谱	pu	pu1	1	pu3	9	phu3	10	pu3	11			
峬	峬		pu1										
庯	庯		pu1										
補	补	pu	pu3	1	pu3	9	pu3	10	pu3	11			
圃	圃	pu	pu3	7	phu3	9							
布	布	pu	pu5	1	pu5	9	pu5	10	pu5	11			
佈	布	pu	pu5	1			pu5	10	pu5	11			
怖	怖	pu	pu5	2	pu5	9	pu5	10	pu5	11			
鈽	钸	pu	pu5	7								化學元素，又稱“鈈”	
鋪	铺	pʽu	phu1	1	phu1	9	phu1	10	phu1	11		鋪陳	
脯	脯		phu1	1	fu1	9			fu3	11			
䮒	䮒	pʽu	phu1	7									
捕	捕								phu1	11			
潽	潽		phu1	1	phu5	9			phu3	11			
普	普	pʽu	phu3	1	phu3	9	phu3	10	phu3	11			
暜	暜		phu3									古同“普”	
鐠	镨		phu3									化學元素	
溥	溥	pʽu	phu3	7									
浦	浦	pʽu	phu3	2	phu3	9	phu3	10	phu3	11			
埔	埔	pʽu	phu3	7									
烳	烳		phu3										
鋪	铺	pʽu	phu5	1	phu5	9	phu5	10	phu5	11		床鋪	
舖	铺	pʽu	phu5	1								床鋪	
悑	悑		phu5										
菩	菩	bu	bu2	1	bu2	9	bu2	10	bu2	11			
脯	脯		bu2	1	bu2	9	bu2	10	bu2	11			
蒱	蒱		bu2										
匍	匍	bu	bu2	7	bu2	9							
葡	葡	bu	bu2	7	bu2	9							
蜅	蜅	bu	bu2	7									
酺	酺	bu	bu2	7									
鯆	𫚙	pʽu	bu2	1								土鯆魚	
䩉	䩉		bu2	1					bu4	11		牛控䩉	
莆	莆		bu2										
鵓	鹁								bu2	11	0.01	鵓鴣	
荸	荸		bu2		bu2	9					0.05	荸薺	
部	部	bu	bu4	1	bu6	9	bu6	10	bu4	11			
篰	篰		bu4	3					bu4	11	55		
蔀	蔀	bu	bu4	7									
簿	簿	bu	bu4	1	bu6	9	bu6	10	bu4	11			
𥳖	𥳖		bu4	1							55		
瓿	瓿		bu4										
步	步	bu	bu6	1	bu6	9	bu6	10	bu6	11			
歩	步		bu6	1									
捕	捕	bu	bu6	2	bu6	9	bu6	10	bu2	11			
哺	哺	bu	bu6	7	bu6	9							
蒲	蒲	bu	bu6	1	bu2	9	bu2	10	bu2	11			
脯	脯		bu6	3							0.05	①沙、土等受擠壓而往不同方向移動②臉長得闊大，向外擴展	
逋	逋	bu	bu6	7									
晡	晡	bu	bu6	7									
䝵	䝵	bu	bu6	7									
𩊬	𩊬	bu	bu6	7									
瓠	瓠		bu6	1									
埠	埠	bu	bu6	1	bu6	9	bu6	10	bu6	11			
埗	埗		bu6									古同“埠”	
殕	殕				bu6	9						白黴(鎮海)	
伏	伏		bu6	1							0.05	“孵蛋”，本字當作“伏蛋”	
孵	孵		bu6	1	bu6	9	bu2	10	bu6	11		“孵蛋”，本字當作“伏蛋”	
卜	卜		bu6	3							0.00	又音 腳卜絡頭	
夫	夫	fu	fu1	1	fu1	9	fu1	10	fu1	11			
伕	夫		fu1	2									
麩	麸		fu1	1	fu1	9	fu1	10	fu1	11			
粰	麸		fu1	1									
鈇	𫓧	fu	fu1	7								化學元素	
呋	呋		fu1									化學用字	
砆	砆	fu	fu1	7									
荴	荴	fu	fu1	7									
趺	趺		fu1										
孵	孵		fu1	2	bu6	9	bu2	10	bu6	11	0.05	文讀	
痡	痡	fu	fu1	7									
敷	敷	fu	fu1	1	fu1	9	fu1	10	fu1	11			
㩤	㩤		fu1	1								用手揮灑液體或粉末等	
孚	孚	fu	fu1	1									
俘	俘	fu	fu1	2	fu1	9	fu1	10	fu1	11			
桴	桴	fu	fu1	7									
莩	莩	fu	fu1	7									
郛	郛	fu	fu1	7									
稃	稃		fu1										
赴	赴	fu	fu1	2	fu5	9	fu5	10	fu5	11			
訃	讣	fu	fu1	2	fu5	9	fu5	10	fu5	11			
賦	赋	fu	fu1	2	fu5	9	fu5	10	fu5	11			
膚	肤	fu	fu1	1	fu1	9	fu1	10	fu1	11			
怤	怤	fu	fu1	7									
𥹃	𥹃	fu	fu1	7									
姇	姇		fu1										
尃	尃		fu1										
筟	筟		fu1										
紨	紨		fu1										
麱	麱		fu1										
柎	柎		fu1										
玞	玞		fu1										
肤	肤		fu1										
衭	衭		fu1										
邞	邞		fu1										
鳺	鳺		fu1										
乎	乎		fu1	1					fu1	11		燥乎乎	
呼	呼	hwu	fu1	1	fu1	9	fu1	10	fu1	11			
嘑	呼	hwu	fu1	1									
虖	呼	hwu	fu1	1									
謼	呼		fu1	1									
滹	滹		fu1										
虍	虍	hwu	fu1	7									
幠	幠		fu1										
恗	恗		fu1										
歑	歑		fu1										
烀	烀		fu1										
苸	苸		fu1										
軤	轷		fu1										
雐	雐		fu1										
殕	殕	fu	fu3	2			fu3	10	fu3	11		白殕	
府	府	fu	fu3	1	fu3	9	fu3	10	fu3	11			
腑	腑	fu	fu3	2	fu3	9	fu3	10	fu3	11			
俯	俯	fu	fu3	2	fu3	9							
頫	俯		fu3	2									
捬	捬	fu	fu3	7									
弣	弣	fu	fu3	7									
斧	斧	fu	fu3	1	fu3	9	fu3	10	fu3	11			
釜	釜	fu	fu3	2	fu3	9	fu3	10	fu3	11			
父	父	fu	fu3	7							0.00	同“甫”	
甫	甫	fu	fu3	2	fu1	9	fu3	10	fu3	11			
輔	辅		fu3	2			fu3	10	fu3	11			
簠	簠	fu	fu3	7									
䪔	䪔	fu	fu3	7									
䯙	䯙	fu	fu3	7									
黼	黼		fu3										
撫	抚	fu	fu3	2							0.05	撫恤金	
憮	怃		fu3										
拊	拊		fu3										
虎	虎	hwu	fu3	1	fu3	9	fu3	10	fu3	11			
琥	琥	hwu	fu3	7									
䗂	䗂		fu3										
唬	唬		fu3										
萀	萀		fu3										
滸	浒	hwu	fu3	2	fu3	9	fu3	10	fu3	11			
富	富	fu	fu5	1	fu5	9	fu5	10	fu5	11			
副	副	fu	fu5	1	fu5	9	fu5	10	fu5	11			
傅	傅	fu	fu5	2	fu5	9	fu5	10	fu5	11		姓	
付	付	fu	fu5	2	fu5	9	fu5	10	fu5	11			
咐	咐	fu	fu5	7									
褔	褔		fu5										
婏	婏		fu5										
陚	陚		fu5										
戽	戽	hwu	fu5	1			fu5	10	fu5	11		戽水	
𣶉	𣶉		fu5	7									
夫	夫	vu	vu2	7	fu1	9	fu1	10	fu1	11	0.00	文言發語詞	
芙	芙	vu	vu2	1	vu6	9	vu2	10	vu2	11			
扶	扶	vu	vu2	1	vu6	9	vu2	10	vu2	11			
蚨	蚨	vu	vu2	7									
枎	枎		vu2										
颫	颫		vu2										
符	符	vu	vu2	2	vu6	9	vu2	10	vu2	11			
苻	苻	vu	vu2	7									
鉜	鉜	vu	vu2	7									
無	无	vu	vu2	2	vu6	9	vu6	10					
无	无	vu	vu2	2									
蕪	芜	vu	vu2	7	vu2	9							
璑	璑	vu	vu2	7									
憮	怃		vu2										
譕	譕		vu2										
鷡	鷡		vu2										
亡	亡	vu	vu2	7							0.00	古同“無”	
侮	侮	vu	vu2	2	vu6	9	vu6	10	wu4	11			
巫	巫	vu	vu2	7	vu2	9			vu2	11			
誣	诬	vu			vu6	9			vu2	11	0.10	又音	
莁	莁		vu2										
鵐	鹀		vu2										
浮	浮		vu2	1	vu2	9	vu2	10			0.06	文讀	
榑	榑		vu2										
玸	玸		vu2										
撫	抚								vu2	11			
父	父	vu	vu4	1	vu6	9	vu6	10	vu4	11			
撫	抚		vu4	2	vu6	9	vu6	10	vu4	11		撫養	
廡	庑	vu	vu4	7									
嫵	妩		vu4										
儛	儛		vu4										
潕	𣲘		vu4										
甒	甒		vu4										
婦	妇	vu	vu4	1	vu2	9	vu6	10	vu4	11			
媍	妇		vu4	1									
務	务	vu	vu4	2	vu6	9	vu6	10					
阜	阜		vu4	2			fu5	10				文讀	
阝	阝		vu4										
碔	碔	vu	vu4	7									
娬	娬		vu4										
珷	珷		vu4										
傅	傅	fu	vu4	3							0.00	師傅	#
滏	滏		vu4										
鬴	鬴		vu4										
輔	辅	vu			vu6	9	vu6	10					
腐	腐	vu	vu6	1	vu6	9	vu6	10	vu4	11			
附	附	vu	vu6	2	vu6	9	vu6	10	wu6	11			
坿	附		vu6	2									
駙	驸	vu	vu6	2									
袝	袝	vu	vu6	7									
鮒	鲋		vu6										
跗	跗		vu6						fu1	11			
祔	祔		vu6										
胕	胕		vu6										
蚹	蚹		vu6										
霧	雾	vu	vu6	2	vu6	9	vu6	10					
婺	婺	vu	vu6	7									
騖	骛	vu	vu6	7									
鶩	鹜		vu6										
嵍	嵍		vu6										
賻	赙	vu	vu6	7									
乎	乎		vu6	2	vu2	9	vu2	10			0.05	又音	
都	都	tu	tu1	1	tu1	9	tu1	10	tu1	11			
闍	阇	tu	tu1	7									
𠣰	𠣰	tu	tu1	7									
姑	姑								tu1	11	0.00	阿姑：姑母(定海)	
堵	堵	tu	tu3	2	tu3	9	tu3	10	tu3	11			
賭	赌	tu	tu3	1	tu3	9	tu3	10	tu3	11			
睹	睹	tu	tu3	2	tu3	9							
覩	睹		tu3	2									
肚	肚		tu3	1	tu3	9	tu3	10	tu3	11	0.05	作爲食品的豬的胃	
琽	琽	tu	tu3	7									
䐗	䐗	tu	tu3	7									
帾	帾		tu3										
暏	暏		tu3										
妒	妒		tu5	2	tu5	9	tu5	10	tu1	11			
妬	妒	tu	tu5	2					tu5	11			
嘟	嘟		tu5	2									
蠹	蠹	tu	tu5	7									
斁	斁	tu	tu5	7									
殬	殬		tu5										
秺	秺		tu5										
螙	螙		tu5										
都	都	tu	thu1	3							0.00	又音 僅限於“都整”	
嶀	嶀		thu1										
庩	庩		thu1										
鵵	鵵		thu1										
土	土	tʽu	thu3	1	thu3	9	thu3	10	thu3	11			
圡	圡		thu3									古同“土”	
吐	吐	tʽu	thu3	2	thu3	9	thu3	10	thu3	11		吞吐	
釷	钍		thu3									化學元素	
靯	靯	tʽu	thu3	7									
兔	兔	tʽu	thu5	1	thu5	9	thu5	10	thu5	11			
兎	兔		thu5	1									
菟	菟	tʽu	thu5	7									
堍	堍		thu5	1	thu5	9							
吐	吐	tʽu	thu5	2	thu5	9	thu5	10	thu5	11		嘔吐	
唾	唾		thu5	1	thu3	9			thu5	11	0.05	饞唾水	
芏	芏	tʽu	thu5	7									
徒	徒	du	du2	1	du2	9	du2	10	du2	11			
屠	屠	du	du2	2	du2	9	du2	10	du2	11			
瘏	瘏	du	du2	7									
廜	廜		du2										
鷵	鷵		du2										
途	途	du	du2	1	du2	9	du2	10	du2	11			
涂	涂	du	du2	7	du2	9	du2	10	du2	11			
塗	涂	du	du2	1	du2	9	du2	10	du2	11			
荼	荼	du	du2	7									
酴	酴	du	du2	7									
嵞	嵞		du2										
峹	峹		du2										
蒤	蒤		du2										
駼	駼		du2										
圖	图	du	du2	1	du2	9	du2	10	du2	11			
図	图		du2	1									
菟	菟	du	du2	7									
堵	堵		du2	3	tu3	9	tu3	10	tu3	11	0.05	量詞	
杜	杜	du	du4	1	du6	9	du6	10	du4	11			
𨧀	𬭊		du4									化學元素	
荰	荰		du4										
肚	肚	du	du4	1	du6	9	du6	10	du4	11			
度	度	du	du6	1	du6	9	du6	10	du6	11			
渡	渡	du	du6	1	du6	9	du6	10	du6	11			
鍍	镀	du	du6	2	du6	9	du6	10	du6	11			
喥	喥		du6	1								發喥	
𦳔	𦳔	du	du6	7									
奴	奴	nu	nu2	2	nu6	9	nu2	10	nu2	11			
伮	伮	nu	nu2	7									
努	努	nu	nu2	2									
孥	孥	nu	nu2	7	no2	9							
駑	驽	nu	nu2	7									
吾	吾	ngwu	nu-ngu2	2	nu6	9			nu2	11			
峿	峿		nu2										
梧	梧	ngwu	nu2	2	nu6	9			nu2	11			
鼯	鼯		nu2										
齬	龉	ngwu	nu2	7									
娪	娪	ngwu	nu2	7									
誤	误		nu2	2	nu6	9	nu6	10	nu6	11			
悟	悟	ngwu	nu2	2	nu6	9	nu6	10	nu6	11			
浯	浯		nu2										
珸	珸		nu2										
祦	祦		nu2										
郚	郚		nu2										
鯃	鯃		nu2										
努	努	nu	nu4	2	nu6	9	nu6	10	nu4	11			
弩	弩	nu	nu4	7	nu6	9							
砮	砮	nu	nu4	7									
𧉭	𧉭	nu	nu4	7									
胬	胬		nu4										
圄	圄	ngwu	nu4	7									
牾	牾	ngwu	nu4	7									
旿	旿		nu4										
怒	怒	nu	nu6	1	nu6	9	nu6	10	nu6	11			
悞	悮	ngwu	nu6	7									
娛	娱	ngwu	nu6	6	nu6	9	nu2	10	nu2	11			
娯	娱	ngwu	nu6	6									
捂	捂	ngwu	nu6	7							0.01		
晤	晤	ngwu	nu6	7	nu6	9							
寤	寤	ngwu	nu6	7									
痦	痦		nu6										
迕	迕	ngwu	nu6	7									
