繁體	兼容格式	湯版頁碼	《阿拉宁波话》頁碼	朱版頁碼	釋義	備註	詞頻
大糊搭氣	dou wu taq chi		242		形容瘋傻，神經不太正常		55
馱藥	dou yaq				拿藥		
大雨傘	dou yu sae						
大遠勿遠	dou yu vaq yu		327		有點遠，但也不算很遠		
大遠弗遠	dou yu vaq yu				有點遠，但也不算很遠		55
馱上	dou zaon				拿上		
馱上去	dou zaon chi				拿上去		
馱上來	dou zaon le				拿上來		
大閘蟹	dou zaq ha	181			中華絨螯蟹		
大前年	dou zhi gni	178			前年的前一年		
大前日	dou zhi gniq	178	14		大前天		55
大牆門	dou zhian men						
大舌頭	dou zhiq deu	181	276	15	1. 口齒不清；2. 形容味道發澀、發麻		
馱着	dou zoq				拿到		
大事體	dou zy thi		125		指婚、喪、造房子等大事		55
馱	dou2	178	143	194, 235	拿	也作「佗」「拕」「駝」「𡩆」。	
舵	dou4	181					
大	dou6	178					
肚皮	du bi	46	45	166	腹，肚子		
肚皮喫勒脹鼓鼓	du bi chioq laq cian ku ku						
肚皮射	du bi dza				拉肚子		
肚皮撒	du bi dza			167	拉肚子		
肚皮𠑞	du bi dza	46	172	167	拉肚子		55
肚皮一貤一貤痛	du bi iq yi iq yi thon				肚子一陣一陣的痛		
肚皮官司	du bi kun sy						
肚皮痛	du bi thon	46			肚子痛		55
肚飢	du ci	46	221	166	餓		
徒弟	du di	46			徒弟		
肚才	du dze	46	50	166	才智；內才		55
杜仲包	du dzon pau						
肚下白	du gho baq	46	65	167	家禽腹部厚而嫩的白肉		55
肚下門	du gho men				女陰		
肚臍眼	du ji ngae	46			肚臍眼		
肚腸	du jian	46	45	166	1. 腸子；2. 指心思、主意		
肚腸骨頭笑斷	du jian kuaq deu shiau doe		341		相當於「笑死人了」（肚腸沒有骨頭，這是詼諧說法）		
渡口	du kheu	46					
杜勒克	du laq khaq	46			撲克牌。俄語 дурак 的音譯		55
杜勒克牌	du laq khaq ba	46			撲克牌。俄語 дурак 的音譯		55
杜勒克牌	du laq khaq bae	46			撲克牌。俄語 дурак 的音譯		55
肚裏貨	du li hou	46	64	167	禽畜的內臟		55
杜路克	du lu khaq		108	144	撲克牌。俄語 дурак 的音譯		55
杜路克牌	du lu khaq ba			144	撲克牌。俄語 дурак 的音譯		
杜路克牌	du lu khaq bae		108		撲克牌。俄語 дурак 的音譯		55
肚繃	du pan	46					55
肚飽飢	du pau ci						
度死	du shi	46					55
肚仙	du shi		25	166	女巫，能召死去的人使人腹中與活人問答，裝神弄鬼以騙取錢財		
肚仙婆	du shi bou	46	25	166	女巫，能召死去的人使人腹中與活人問答，裝神弄鬼以騙取錢財		55
喥性	du shin						
圖書	du syu	46	95	209	印章		
圖書釘	du syu tin		107		圖釘		55
肚檔	du taon	46	91	166	棕繃下面用來支撐直程的弧形撐檔		55
肚兜	du teu	46	58	167	兜肚兒		
肚叉叉	du tsho tsho		64		豬乳旁邊的肥肉		55
杜蛆	du tsu	46			一種生活在水邊的蠕蟲		
圖畫釘	du wo tin	46		209		圖釘	55
渡船道頭	du zoe dau deu						
堵	du2	46	121	335	量詞。道（用於牆）		
度	du6	46	121	270	量詞。次；遍		
渡	du6		9		地名用詞，本指渡口		
咋記意思	dza ci i sy				什麼意思		
咋結煞	dza ciq saq	64	321	207	怎麼辦；如何得了		55
射肚皮	dza du bi				拉肚子；腹瀉		
撒肚皮	dza du bi			458	拉肚子；腹瀉		
𠑞肚皮	dza du bi	64	172	458	拉肚子；腹瀉		55
咋呢	dza gni		41		怎麼啦；怎的		55
咋挔	dza i		40		怎麼辦		578
咱伊	dza i		40		怎麼辦		55
咋挔挔	dza i i		40		怎麼辦		578
咋依八𠡒	dza i paq tei	64			諸如此類（的話），含貶義		55
咋長闊短	dza jian khuaq toe		333	207	1. 說長道短；評頭品足；2. 如此這般；詳詳細細		55
咋個	dza kou		41	207	多少		578
咋個大	dza kou dou				多大		
咋個長	dza kou jian				多長；多高		
咋光景	dza kuaon cin		41		怎麼樣		578
咋管	dza kun	64	41	207	多少	後字借音寫作「管」。後字又常讀作 kou，本字或爲「個」，kun 爲 kou 的兒化變讀。	1500
咋管大	dza kun dou				多大		55
咋管長	dza kun jian				多長；多高		55
射爛薄屙	dza lae boq ou				拉肚子；腹瀉		
射爛薄涴	dza lae boq ou				拉肚子；腹瀉		55
撒爛薄屙	dza lae boq ou				拉肚子；腹瀉		
撒爛薄涴	dza lae boq ou				拉肚子；腹瀉		55
𠑞爛薄屙	dza lae boq ou				拉肚子；腹瀉		
𠑞爛薄涴	dza lae boq ou		172		拉肚子；腹瀉		55
射爛屙	dza lae ou				拉肚子；腹瀉		
射爛涴	dza lae ou				拉肚子；腹瀉		55
撒爛屙	dza lae ou				拉肚子；腹瀉		
撒爛涴	dza lae ou				拉肚子；腹瀉		55
𠑞爛屙	dza lae ou				拉肚子；腹瀉		
𠑞爛涴	dza lae ou	64	172		拉肚子；腹瀉		55
射痢疾	dza li jiq				患痢疾		55
撒痢疾	dza li jiq				患痢疾		55
𠑞痢疾	dza li jiq	64	172		患痢疾		55
咋弄	dza lon	64	40		怎麼辦		578
咋弄弄	dza lon lon	64	40		怎麼辦		578
咋末介	dza maq ka				怎樣；怎麼樣		25000
咋末格	dza maq kaq				怎樣；怎麼樣		25000
咋貌	dza mau	64	40	207	怎樣；怎麼樣		50000
咋貌介	dza mau ka	64			怎樣；怎麼樣		25000
咋貌格	dza mau kaq		40	207	怎樣；怎麼樣		25000
⿱寨魚	dza ng		67	499	一種小海魚，長約二三寸，漁家多盛於⿱寨中上市出售，故名		55
射㕶㕶	dza nk nk				大便（動作），兒童用語		
射唔唔	dza nk nk				大便（動作），兒童用語		
撒㕶㕶	dza nk nk				大便（動作），兒童用語		
撒唔唔	dza nk nk				大便（動作），兒童用語		
𠑞㕶㕶	dza nk nk				大便（動作），兒童用語		1
𠑞唔唔	dza nk nk				大便（動作），兒童用語		
射屙	dza ou				大便（動作）		
射涴	dza ou				大便（動作）		
撒屙	dza ou				大便（動作）		
撒涴	dza ou				大便（動作）		
𠑞屙	dza ou				大便（動作）		
𠑞涴	dza ou	64	170		大便（動作）		55
射屙撲	dza ou phoq	64	36	459	經常把大便拉在褲子、牀單上的人		
射涴撲	dza ou phoq	64	36	459	經常把大便拉在褲子、牀單上的人		
撒屙撲	dza ou phoq	64	36	459	經常把大便拉在褲子、牀單上的人		
撒涴撲	dza ou phoq	64	36	459	經常把大便拉在褲子、牀單上的人		
𠑞屙撲	dza ou phoq	64	36	459	經常把大便拉在褲子、牀單上的人		
𠑞涴撲	dza ou phoq	64	36	459	經常把大便拉在褲子、牀單上的人		55
射屙出	dza ou tshyuq				把大便拉在褲子、牀單上		
射涴出	dza ou tshyuq				把大便拉在褲子、牀單上		
撒屙出	dza ou tshyuq				把大便拉在褲子、牀單上		
撒涴出	dza ou tshyuq				把大便拉在褲子、牀單上		
𠑞屙出	dza ou tshyuq		170		把大便拉在褲子、牀單上		
𠑞涴出	dza ou tshyuq	64	170		把大便拉在褲子、牀單上		55
𠑞屙做記認	dza ou tsou ci gnin						
𠑞涴做記認	dza ou tsou ci gnin						1
射屁	dza phi				放屁		
撒屁	dza phi				放屁		
𠑞屁	dza phi		170		放屁		55
射屁蟲	dza phi dzon				椿象		
撒屁蟲	dza phi dzon				椿象		
𠑞屁蟲	dza phi dzon	64			椿象		55
射屁賴	dza phi la						
撒屁賴	dza phi la						
𠑞屁賴	dza phi la						
射屁賴賴	dza phi la la						
撒屁賴賴	dza phi la la						
𠑞屁賴賴	dza phi la la						
咋西孃介	dza shi gnian ka				怎麼回事		55
咋西孃格	dza shi gnian kaq		41		怎麼回事		55
咋相貌	dza shian mau	64			怎樣；怎麼樣		55
咋相貌介	dza shian mau ka	64			怎樣；怎麼樣		55
咋相貌格	dza shian mau kaq	64			怎樣；怎麼樣		55
咋式貌	dza shiq mau		40		怎樣；怎麼樣		55
咋式貌介	dza shiq mau ka				怎樣；怎麼樣		55
咋式貌格	dza shiq mau kaq		40		怎樣；怎麼樣		55
射尿	dza syu	64	170		小便（動作）		
撒尿	dza syu	64	170		小便（動作）		
𠑞尿	dza syu	64	170		小便（動作）		418
射尿撲	dza syu phoq	64	36	459	1. 經常尿牀，尿褲子的人；2. 蝦蛄，也稱「蝦皮彈蟲」		
撒尿撲	dza syu phoq	64	36	459	1. 經常尿牀，尿褲子的人；2. 蝦蛄，也稱「蝦皮彈蟲」		
𠑞尿撲	dza syu phoq	664	36	459	1. 經常尿牀，尿褲子的人；2. 蝦蛄，也稱「蝦皮彈蟲」		55
射尿尿	dza syu syu				小便（動作），兒童用語		
撒尿尿	dza syu syu				小便（動作），兒童用語		
𠑞尿尿	dza syu syu				小便（動作），兒童用語		1
射尿出	dza syu tshyuq		170		尿牀		
撒尿出	dza syu tshyuq		170		尿牀		
𠑞尿出	dza syu tshyuq		170		尿牀		55
射哚哚尿	dza to to syu				小便（動作），兒童用語		
撒哚哚尿	dza to to syu				小便（動作），兒童用語		
𠑞哚哚尿	dza to to syu				小便（動作），兒童用語		1
咋回事體	dza wei zy thi		41		怎麼回事		578
咋話	dza wo	64	41	207	1. 怎麼說，說什麼；2. 怎麼樣；3. 表示驚訝，相當於「什麼」；4. 應答詞。相當於「什麼事」		578
射藥	dza yaq				瀉藥		
撒藥	dza yaq				瀉藥		
𠑞藥	dza yaq				瀉藥		1
咋	dza4	64	40		1. 怎麼；2. 什麼；3. 副詞。多麼；多少（與句末語氣助詞相呼應）		
射	dza4				1. 排泄; 2. 腹瀉; 3. 量詞，用於排便或排尿	湯版造字「⿸尸查」，《阿拉宁波话》造字「⿸尸咋」，俗亦寫「撒」，《越諺》作「𠑞」，另有考證本字爲「射」者。推薦「𠑞」。	
撒	dza4		170	458	1. 排泄; 2. 腹瀉; 3. 量詞，用於排便或排尿	湯版造字「⿸尸查」，《阿拉宁波话》造字「⿸尸咋」，俗亦寫「撒」，《越諺》作「𠑞」，另有考證本字爲「射」者。推薦「𠑞」。	
𠑞	dza4	64	170	458	1. 排泄; 2. 腹瀉; 3. 量詞，用於排便或排尿	湯版造字「⿸尸查」，《阿拉宁波话》造字「⿸尸咋」，俗亦寫「撒」，《越諺》作「𠑞」，另有考證本字爲「射」者。推薦「𠑞」。	55
⿱寨	dza6		101	499	用竹篾編成的器具，圓形平底疏孔，邊框很淺，用來曬物、篩物或養蠶等		
賺進	dzae cin	141			獲取利潤；得到好處		55
蹔𧉆	dzae ciq	141			蟋蟀		55
站頭	dzae deu	141	90	320	車站		418
賺頭	dzae deu	141	64	448	豬舌頭		
𡓦頭	dzae deu	141			水畔伸出之地，形狀如舌頭		55
賺銅鈿	dzae don di	141			賺錢		55
賺賺看	dzae dzae khe						
綻柱	dzae dzyu	141	234	383	1. 身體結實強壯；2. 器物粗大結實		418
殘疾	dzae jiq	140			殘疾		
饞癆	dzae lau	140	247	405, 406	饞		
饞癆窞	dzae lau dei	141			後腦勺下方的豎形凹痕		55
饞癆蟲	dzae lau dzon	141			嘴饞的人，饞鬼		55
饞癆丫麻	dzae lau o mo	141	32	406	嘴饞的人，饞鬼		55
饞癆丫麻狗卵脬	dzae lau o mo keu loe phau						
饞癆槽	dzae lau zau	141	42		後腦勺下方的豎形凹痕		55
賺外快	dzae nga khua	141			賺取額外的收入		55
暫眼一看	dzae ngae iq khi-khe		135		乍一看		55
賺鈔票	dzae tshau phiau	141			賺錢		578
棧房	dzae vaon	141		243	1. 對方貨物的地方；2. 設施簡單的酒店		
嚵	dzae2			499	1. 動物用嘴叼或捕取；2. 稍微喫點		
綻	dzae6	141	229	382	1. 飽滿；2. 突起		
賺	dzae6	141	251	448	1. 錯；2. 掙（錢）		
𧸖	dzae6			485	錯	通作「賺」。	
䂻腳夾縫	dzan ciaq kaq von						
䂻進其肚裏勿得	dzan cin ji du li vaq taq				恨不得鑽到他肚子裏。比喻怒其不爭，想代爲做事		
䂻進其肚裏弗得	dzan cin ji du li vaq taq				恨不得鑽到他肚子裏。比喻怒其不爭，想代爲做事		1
䂻進渠肚裏勿得	dzan cin ji du li vaq taq				恨不得鑽到他肚子裏。比喻怒其不爭，想代爲做事		
䂻進渠肚裏弗得	dzan cin ji du li vaq taq				恨不得鑽到他肚子裏。比喻怒其不爭，想代爲做事		1
鋥鋥亮	dzan dzan lian	208			很亮		55
䂻其肚裏勿得	dzan ji du li vaq taq				恨不得鑽到他肚子裏。比喻怒其不爭，想代爲做事		
䂻其肚裏弗得	dzan ji du li vaq taq				恨不得鑽到他肚子裏。比喻怒其不爭，想代爲做事		1
䂻渠肚裏勿得	dzan ji du li vaq taq	208			恨不得鑽到他肚子裏。比喻怒其不爭，想代爲做事		
䂻渠肚裏弗得	dzan ji du li vaq taq				恨不得鑽到他肚子裏。比喻怒其不爭，想代爲做事		1
鋥刮亮	dzan kuaq lian		275	401	很亮		55
鋥刮斯亮	dzan kuaq sy lian	208	275	401	很亮		55
鋥亮	dzan lian	208	275	401	很亮		
䂻俉肚裏勿得	dzan ng du li vaq taq	208			恨不得鑽到你肚子裏。比喻怒其不爭，想代爲做事		
䂻俉肚裏弗得	dzan ng du li vaq taq	208			恨不得鑽到你肚子裏。比喻怒其不爭，想代爲做事		
䂻爾肚裏勿得	dzan ng du li vaq taq	208			恨不得鑽到你肚子裏。比喻怒其不爭，想代爲做事		
䂻爾肚裏弗得	dzan ng du li vaq taq	208			恨不得鑽到你肚子裏。比喻怒其不爭，想代爲做事		1
䂻儂肚裏勿得	dzan nou du li vaq taq	208			恨不得鑽到你肚子裏。比喻怒其不爭，想代爲做事		
䂻儂肚裏弗得	dzan nou du li vaq taq	208			恨不得鑽到你肚子裏。比喻怒其不爭，想代爲做事		
䂻笆洞	dzan po don	208			舊指偷訪未婚妻		55
盛墊	dzan ti				地名		
䂻	dzan6	208	167	247	1. 鑽；2. 塞；撐		
瞠	dzan6	208	134	478	1. 眼睛睜大；2. 陰雨天雲中透出陽光		
藏青	dzaon chin	235			藏青色		
撞頭	dzaon deu	235	201	462	相撞		
幢籃	dzaon lae	235	101	399	盛食物的大竹籃，分若干格，疊在一起，常用扁擔挑		55
撞傷	dzaon saon	235			撞傷		
幢箱櫥	dzaon shian dzyu	235	90	399	上可疊放箱子的木櫃		55
幢	dzaon4	234	123, 143	399	量詞。用於重疊的物品；疊放	《阿拉宁波话》也作「𰤻」「撞」。	
𰤻	dzaon6	234	123, 143	399	量詞。用於重疊的物品；疊放		
宅基地	dzaq ci di	313			房屋的地基		
宅長老頭	dzaq cian lau deu						
宅長太公	dzaq cian tha kon						
捽頭髮	dzaq deu faq						
宅宅	dzaq dzaq		280	501	1. 形容液體流得很急；2. 形容用力、快速的樣子	朱版作「𩆸𩆸」。	55
捽年糕團	dzaq gni kau doe						
雜蟹	dzaq ha			118	石蟹，一種海蟹		
捽芹菜	dzaq jin tshe						
雜格楞敦	dzaq kaq len ten			118	雜七雜八		
雜角𩞁餈	dzaq koq mo zy						
雜嘴雜舌	dzaq tsyu dzaq zhiq						
捽	dzaq8	313	148	338	用力拉、折		
濯	dzaq8		159	488	在清水裏搓洗		
在行	dze ghaon	125	237	96	機靈；聰明；懂行；內行		
在行三叔婆	dze ghaon sae soq bou	125	35	96	戲稱自作聰明，自以爲樣樣都懂的人		55
在內	dze nei		250		像話（多用在反問句中表示否定）		
在外人	dze nga gnin						
財百萬	dze paq vae	125	32	159	富翁；闊佬		55
財神菩薩	dze zyun bu saq	125			財神		55
⿱咋會	dzei2	169	41	448	「咋會」的合音詞。怎麼會		
存心	dzen shin	255			1. 有意，故意；2. 誠心，誠意		
蛇皮袋	dzo bi de		101		編織絲袋，表酣粗糙似蛇皮，故名		
蛇皮癬	dzo bi shi	100	54	353	一種皮膚病，皮膚表面乾燥翹起如蛇皮，故名		55
茶盤	dzo bun	100			盛放茶碗、茶杯的盤子		
茶几	dzo ci	100			茶几		
茶腳	dzo ciaq	100			茶水中沉在底部的沉澱物		55
喳喳	dzo dzo		280	397	1. 形容液體不斷流出；2. 形容叫喊聲		
喳喳叫	dzo dzo ciau						
喳喳嘔	dzo dzo eu						
喳喳謳	dzo dzo eu						1
查查廉廉	dzo dzo li li	100	139	244	反覆查問		55
查查問問	dzo dzo men men	100	139	244	反覆查問		55
查查叨叨	dzo dzo tau tau			244	反覆查問		
蛇蟲百腳	dzo dzon paq ciaq	100	114		泛指各種蛇蟲		55
茶坊	dzo faon	100			茶館		
茶風	dzo fon	100			白癜風		55
茶花	dzo huo	100			茶花		
蛇䢚洞	dzo kan don				蛇鑽洞		
蛇交孳	dzo kau tsy				蛇交配		
蛇果果	dzo kou kou		75		蛇莓		55
𤵾亂	dzo loe	100	30	372	癡憨的人		55
茶籮	dzo lou	100	32, 105	242	採茶時用來裝茶葉的兩頭小、肚子大的圓形竹籮；喻指喫光用光，沒有財產的人	湯版作「蛇籮」。據《北仑方言》同音字表，北侖方言「茶」、「蛇」不同音。83 頁詞表作「茶籮」，兼具工具和詈語二義。可知該詞應作「茶籮」，而非「蛇籮」。	55
蛇苗	dzo miau		75		蛇莓		55
茶農	dzo non	100			茶農		
茶杯	dzo pei	100			茶杯		
蛇手	dzo shi		53		喪失運動能力的手		
蛇手	dzo shieu	100	53	353	喪失運動能力的手	《阿拉宁波话》也作「茶手」。	55
茶水	dzo syu	99			統稱白開水和茶		
蛇褪殼	dzo then khoq	100			蛇蛻皮		
茶托	dzo thoq	100			茶盅下面的小碟		
茶盅	dzo tson	100			茶盅		
茶碗	dzo un	100			茶碗		
茶房	dzo vaon	100			舊指旅店、輪船中掃地、擦桌子的服務員		
社會禮拜	dzo wei li pa			179	社會上普遍實行的星期制度，與「廠禮拜」（工廠內部的星期制度）相對		
社會呆大	dzo wei nge dou		28		缺乏社會知識的人		55
茶壺	dzo wu	100	96		燒水的壺；用來沏茶的壺		
搽藥膏	dzo yaq kau	100			塗藥膏		55
茶油	dzo yeu	100			用茶樹籽榨的油		
茶葉	dzo yiq	100			茶葉		
茶葉蛋	dzo yiq dae	100			茶葉蛋		
茶葉茶	dzo yiq dzo	100	81		用茶葉沖泡的茶水（與「清茶」「白開水」相對）		55
茶葉發出	dzo yiq faq tshyuq						
茶葉罐頭	dzo yiq kun deu						
茶樹	dzo zyu	99			茶樹		
搽	dzo2	100			塗抹		
茶	dzo2	99	81	242	1. 開水；2. 用茶葉沖泡的茶水		
蛇	dzo2	100			蛇		
社	dzo4		8	179	地名用詞，指土地廟所在地		
全家福	dzoe cia foq				全家福		
傳袋	dzoe de		180		習俗，新娘臨門，男家用幾個麻袋鋪在地上，更番傳遞替換，讓新娘腳踩着麻袋走到拜堂的廳堂。這種習俗叫「傳袋」，諧音「傳代」，取代代相傳、傳宗接代之意		55
全個	dzoe kou		285	116	完全		55
泉水	dzoe syu	151			泉水		
椽子	dzoe tsy	151			椽子		
全夜	dzoe ya	151			整夜		55
諓	dzoe2	151	140	179	因惦記而反覆唸叨	《阿拉宁波话》作「傳」。	
重被	dzon bi	290	91	328	用來送喪放人棺內的被子	朱版也作「𧙇被」。	55
𧙇被	dzon bi	290	91	328	用來送喪放人棺內的被子	《集韻》𧙇，戎用切，鬼衣。	
從今以後	dzon cin yi gheu	290			今後		
重隊	dzon dei			263	一起；一塊兒		
重頭生活	dzon deu san waq	290			重活		
重頭生活阿哥做	dzon deu san waq aq kou tsou						
重頭生活	dzon deu san wo	290			重活		55
重頭生活阿哥做	dzon deu san wo aq kou tsou						
從直	dzon jiq	290	251	41	1. 從實；坦率；2. 不推辭；不客氣		55
從直趁熱	dzon jiq chin gniq						
重囡疏	dzon no su	290			孫子的女兒		
重囡疏	dzon noe su	290			孫子的女兒		
從生出	dzon san tshyuq						
重孫	dzon sen	290			孫子的兒子		
從小	dzon shiau	290			從小		
訟師	dzon sy	290			舊稱律師		
重頓頓	dzon ten ten	290	264	263	分量重		55
從此	dzon tshy	290			此後		
從此以後	dzon tshy yi gheu	290			此後		
重仔勿得	dzon tsy vaq taq						
重仔弗得	dzon tsy vaq taq						1
重陽節	dzon yan ciq	290			重陽節		
重陽糕	dzon yan kau	290			重陽節喫的以後總糯米糕		55
重陽暴	dzon yan pau	290			重陽節前後的大風		55
從前子	dzon zhi tsy		18		從前；過去		55
從	dzon2	290			1. 表示起點；2. 表示經過； 3. 表示根據		
族長	dzoq cian	342			家族中的首領		
族長太公	dzoq cian tha kon			32	家族中的首領		
逐節	dzoq ciq	342	288	301	隨時		55
㪬㪬煞煞	dzoq dzoq saq saq		230		形容很侷促，很擁擠		55
逐日	dzoq gniq	342	288	301	每天；天天		
妯娌	dzoq li	342			妯娌		
㪬裏㪬煞	dzoq li dzoq saq		230		形容很侷促，很擁擠		55
族裏人	dzoq li gnin	342			同宗同族的一家人		55
㪬落僵鴨	dzoq loq cian ae				瘦小的人		
㪬落羹	dzoq loq kan	342	78	140, 494	把喫剩的魚肉蔬菜倒在一起的混合菜餚		55
㪬落養生	dzoq loq yan san				猥瑣的人		
㪬芋艿皮	dzoq n na bi						
着把	dzoq po		215		成功		55
濁瘟	dzoq uen	342			愚笨癡頑的人		55
濁瘟頭	dzoq uen deu	342			愚笨癡頑的人		55
逐魂	dzoq wen	342	111	301	貓頭鷹		55
逐魂頭	dzoq wen deu				愚笨癡頑的人		
㪬	dzoq8	342	153	494	1. 搗，舂；2. 碰撞，推；3. 用耙等推；4. 胡亂堆放		
鋤地	dzu di	48			鋤地		
瓷器店	dzy chi ti	2			經營陶瓷製品的商店		55
池塘	dzy daon				池塘		
祠堂	dzy daon				祠堂（爲祭祀先人或紀念某人而修成的建築）		
遲發人	dzy faq gnin				發育較晚的人		
慈城年糕	dzy jin gni kau				慈城產的年糕，爲當地傳統小喫		
慈姑	dzy ku	3			澤瀉科多年生草本植物		
遲了百遲	dzy liau paq dzy				很遲；很晚		
遲早點	dzy tsau ti				遲早		
飼養員	dzy yan yu	3			飼養員		
住宅	dzyu dzaq	9			住宅		
住住	dzyu dzyu		280	245	形容睡着時的呼吸聲或鼾聲		55
柱柱落地	dzyu dzyu loq di						
縋嗯頭	dzyu en deu		243		1. 形容支支吾吾，態度不明朗；2. 形容隱約細弱的疼痛感覺		55
除䩩	dzyu iu	8		284	稱東西時去除盛器的重量		55
廚工	dzyu kon	8	24	392	廚師		418
廚工師父	dzyu kon sy vu	8	24		廚師		55
除籃䩩	dzyu lae iu						
治漏	dzyu leu	9			田埂漏水加土修復		55
廚頓	dzyu ten		132		用餐的規律		55
滯膯	dzyu ten	9	204		喫得過飽	《阿拉宁波话》作「縋膯」，前字當與「滯底」類似。	55
滯底	dzyu ti		211		東西燒焦後粘住鍋底		55
柱底石	dzyu ti zaq	9			柱子底下的礎石，形如石鼓		55
除出	dzyu tshyuq		299	284	除了		55
廚房間	dzyu vaon kae	8	83		廚房		55
廚	dzyu2	9	123	163, 392	量詞。頓		
捶	dzyu2		152		打；揍		
櫥	dzyu2	9			櫥		
炷	dzyu2	9	123	69	1. 量詞。用於火燙、蟲咬等的次數；2. 量詞。用於點着的香		
柱	dzyu4		123		量詞。用於墳墓、石磨等		
滯	dzyu6	9	211	409	凝積成一層		
縋	dzyu6	9	210	416	用重物往下壓；東西因重而下垂		
絕頭絕腦	dzyuq deu dzyuq nau		335		形容不留餘地		55
絕絕煞煞	dzyuq dzyuq saq saq				擁擠；侷促		
絕裏絕煞	dzyuq li dzyuq saq				擁擠；侷促		
絕煞	dzyuq saq				擁擠；侷促；阻塞		
愛陰陽	e in yan		318		原指祈求陰間、陽間都平安，後多指通過某種方式來避禍求福		55
愛惜	e shiq	128			愛惜		
暗氣	ei-e chi			426	用在動詞、形容詞等後面，表示程度深或數量多		
暗氣一樣	ei-e chi iq yan	172	286		用在動詞、形容詞等後面，表示程度深或數量多		55
暗氣介	ei-e chi ka	172	286		用在動詞、形容詞等後面，表示程度深或數量多		55
案卷	ei-e ciu	172			各單位分類保存以備查閱的文件		
庵堂	ei-e daon	172			尼姑修行的寺院		
暗頭	ei-e deu	172	12	426	1. 暗處，背光處；2. 形容詞。背光的		418
暗頭裏	ei-e deu li	172	12	427	暗處，背光處		418
暗笛薄朧	ei-e diq boq lon	172	274	427	形容光線昏暗	湯版作「暗笛薄龍」，《阿拉宁波话》作「暗笛卜朧」	55
暗洞洞	ei-e don don	172	274		1. 形容光線昏暗；2. 私下；背地裏		55
安安耽耽	ei-e ei-e tae tae	172			安定；安穩		55
安安耽耽過日腳	ei-e ei-e tae tae kou gniq ciaq				安穩地過日子		
暗行生意	ei-e ghaon san i		124		1. 指賣淫、盜竊等不光明正大的職業；2. 指別人不太知道的賺錢門路		55
暗行生活	ei-e ghaon san wo				1. 指賣淫、盜竊等不光明正大的職業；2. 指別人不太知道的賺錢門路		
暗肉	ei-e gnioq	172	48		指長在身上不容易看出來的肉		55
安陰陽	ei-e in yan	172	318		原指祈求陰間、陽間都平安，後多指通過某種方式來避禍求福		55
按杖棒	ei-e jian baon	172	94	240	手杖		55
暗裏墨洞	ei-e li moq don				形容光線昏暗		
暗力薄朧	ei-e liq boq lon		274	427	形容光線昏暗	《阿拉宁波话》作「暗力卜朧」	55
暗弄送	ei-e lon son	172			暗中算計他人		55
安落去	ei-e loq chi		318		說到底		55
暗墨侖寸	ei-e moq len tshen		274		形容光線昏暗		55
暗墨朧充	ei-e moq lon tshon		274		形容光線昏暗		55
安板一樣	ei-e pae iq yan	171	251		形容做事有規律，守規矩		55
安板子	ei-e pae tsy		251		形容做事有規律，守規矩		55
暗手	ei-e shieu	172	12		背光的		55
安耽	ei-e tae	172	218	126	安定；安穩	朱版作「安躭」。《玉篇》躭，丁含切，俗耽字。以「耽」爲正。	55
暗探	ei-e thei	172			祕密偵探		
暗鐵撲朧	ei-e thiq phoq lon	172	274		形容光線昏暗	湯版作「暗鐵撲龍」	55
暗寸寸	ei-e tshen tshen	172	274	427	形容有點兒暗		55
暗黢黢	ei-e tshyuq tshyuq	172	274	427	1. 形容光線昏暗；2. 私下；背地裏	湯版作「暗出出」，《蘇州方言詞典》同（oe tsheq tsheq）。《阿拉宁波话》作「暗黢黢」，《杭州方言詞典》同（aen tsheq tsheq）。《上海话大词典》作「暗黜黜」(oe tsheq tsheq)。黢，《集韻》促律切，黑也。「黢」音義合，佳。	578
按拄棒	ei-e tsyu baon	172			手杖		55
安牀	ei-e zaon	172			婚俗，婚前三天請夫婦雙全、子孫滿堂的老人來鋪蓆子、被褥等		55
鵪鶉	ei-e zyun	172			鵪鶉		
鵪鶉鳥	ei-e zyun tiau				鵪鶉		
哎	ei-e1	172	301	205, 347	1. 用於招呼及應答；2. 語氣詞。表示強調、提示等語氣		
安	ei-e1	171	143	125	放；擺		
暗	ei-e5	172			暗，不亮		
嗯嗯切切	en en chiq chiq		243		1. 形容支支吾吾，態度不明朗；2. 形容隱約細弱的疼痛感覺		55
嗯嗯支支	en en tsy tsy		243	428	1. 形容支支吾吾，態度不明朗；2. 形容隱約細弱的疼痛感覺		55
傴頭	eu deu				低着頭		55
傴頭磕腦	eu deu khaq nau	202	330	112	1. 低着頭；2. 低頭哈腰；低三下四		55
嘔嘔其	eu eu ji		320		用在整數後，表示姑且算作這個整數		
嘔嘔渠	eu eu ji		320		用在整數後，表示姑且算作這個整數		
謳謳其	eu eu ji		320		用在整數後，表示姑且算作這個整數		55
謳謳渠	eu eu ji		320		用在整數後，表示姑且算作這個整數		55
嘔其淘淘米	eu ji dau dau mi						
嘔渠淘淘米	eu ji dau dau mi						
謳其淘淘米	eu ji dau dau mi						1
謳渠淘淘米	eu ji dau dau mi						1
嘔其一聲	eu ji iq shin						
嘔渠一聲	eu ji iq shin						
謳其一聲	eu ji iq shin						1
謳渠一聲	eu ji iq shin						1
嘔其倒痰瓶	eu ji tau dae bin						
嘔渠倒痰瓶	eu ji tau dae bin						
